,Short Percent of Float,Short % Increase / Decrease,% Owned by Insiders,% Owned by Institutions,Trading Volume - Today,Trading Volume - Average,Short Interest Ratio (Days To Cover)
DAL,1.67,-21.0,0.35,61.37,9962301.0,9962301.0,0.7
XRAY,1.51,3.0,NAN,NAN,786833.0,786833.0,2.5
DVN,NAN,25.0,0.63,84.16,9349947.0,9349947.0,1.6
DXCM,NAN,9.0,0.38,98.82,558213.0,558213.0,3.2
FANG,4.72,4.0,0.94,94.99,1902600.0,1902600.0,1.8
DLR,NAN,-11.0,0.3,96.57,1442551.0,1442551.0,3.2
DFS,1.81,-17.0,0.53,88.75,2442664.0,2442664.0,1.9
DISCA,37.57,6.0,NAN,NAN,4732955.0,4732955.0,7.7
DISCK,2.77,25.0,4.83,87.63,4122103.0,4122103.0,2.5
DISH,NAN,3.0,14.19,80.17,3856064.0,3856064.0,6.0
DG,1.15,27.0,0.2,95.1,3742867.0,3742867.0,1.6
DLTR,1.42,7.0,1.34,91.73,1606966.0,1606966.0,1.6
D,NAN,-4.0,0.28,69.79,2988143.0,2988143.0,1.7
DPZ,3.43,-2.0,0.74,92.37,494364.0,494364.0,2.5
DOV,1.16,-8.0,0.89,85.5,556798.0,556798.0,2.2
DOW,1.41,10.0,0.09,68.0,3721621.0,3721621.0,2.6
DTE,NAN,14.0,0.58,74.88,970020.0,970020.0,1.6
DUK,NAN,-1.0,0.1,64.65,2170386.0,2170386.0,2.2
DRE,NAN,-9.0,0.12,99.82,1186768.0,1186768.0,2.7
DD,6.36,96.0,0.09,78.24,16809370.0,16809370.0,5.6
DXC,2.2,-12.0,0.74,86.81,4759833.0,4759833.0,1.9
EMN,1.35,17.0,0.56,87.62,498822.0,498822.0,2.1
ETN,0.74,-2.0,0.18,83.12,1974233.0,1974233.0,1.6
EBAY,3.78,0.0,3.66,94.52,12664112.0,12664112.0,2.9
ECL,0.73,-1.0,0.53,88.36,717332.0,717332.0,2.1
EIX,NAN,-13.0,0.06,90.97,2081642.0,2081642.0,3.0
EW,NAN,-7.0,0.68,87.59,1969329.0,1969329.0,1.7
EA,3.04,0.0,0.39,93.39,3773920.0,3773920.0,2.8
EMR,1.29,4.0,0.68,76.27,3635377.0,3635377.0,2.7
ENPH,5.48,-23.0,8.8,77.62,1723726.0,1723726.0,1.7
ETR,NAN,-21.0,0.27,88.35,823841.0,823841.0,1.7
EOG,NAN,4.0,0.33,89.87,4007801.0,4007801.0,2.0
EFX,NAN,18.0,0.38,91.23,534342.0,534342.0,2.1
EQIX,NAN,-9.0,0.45,96.45,377623.0,377623.0,1.9
EQR,2.85,12.0,1.51,93.12,3066376.0,3066376.0,3.5
ESS,1.33,4.0,NAN,NAN,676142.0,676142.0,1.7
EL,NAN,4.0,4.29,91.68,3127136.0,3127136.0,1.6
ETSY,NAN,-3.0,0.65,90.94,3690475.0,3690475.0,2.2
EVRG,1.55,-50.0,0.27,83.51,1988365.0,1988365.0,1.6
ES,NAN,-13.0,0.34,80.56,1025538.0,1025538.0,1.8
RE,1.91,15.0,NAN,NAN,201383.0,201383.0,2.8
EXC,NAN,-1.0,0.26,80.94,3958376.0,3958376.0,1.8
EXPE,9.19,-17.0,NAN,NAN,1954827.0,1954827.0,3.6
EXPD,2.02,-3.0,0.63,95.55,998147.0,998147.0,3.0
EXR,NAN,4.0,NAN,NAN,679946.0,679946.0,3.0
XOM,1.05,0.0,0.09,52.2,34654065.0,34654065.0,1.4
FFIV,NAN,-4.0,0.36,99.53,522806.0,522806.0,3.8
FB,0.84,-14.0,0.63,79.77,12045023.0,12045023.0,1.0
FAST,2.38,-11.0,0.32,80.81,2451206.0,2451206.0,4.4
FRT,NAN,5.0,0.86,96.95,417449.0,417449.0,2.9
FDX,1.35,19.0,7.64,74.7,2781591.0,2781591.0,1.1
FIS,NAN,5.0,0.36,93.83,2810946.0,2810946.0,1.6
FITB,0.93,-11.0,0.32,81.73,3697451.0,3697451.0,1.2
FE,NAN,4.0,0.25,81.41,3977751.0,3977751.0,2.7
FRC,NAN,17.0,NAN,NAN,497333.0,497333.0,3.4
FISV,1.34,2.0,0.42,92.03,2533998.0,2533998.0,2.0
FLT,2.2,2.0,2.36,97.22,1254881.0,1254881.0,2.4
FLIR,1.57,4.0,0.91,92.6,1716099.0,1716099.0,0.8
FLS,3.69,-8.0,NAN,NAN,701748.0,701748.0,5.0
FMC,0.76,9.0,0.63,91.77,808500.0,808500.0,1.5
F,2.4,-4.0,0.19,52.1,112510774.0,112510774.0,1.2
FTNT,2.15,-4.0,16.47,71.29,1856719.0,1856719.0,2.6
FTV,2.36,2.0,4.38,90.18,6079678.0,6079678.0,3.8
FBHS,1.03,1.0,0.45,89.99,751564.0,751564.0,1.4
FOXA,10.48,-10.0,NAN,NAN,4635194.0,4635194.0,5.9
FOX,1.32,-7.0,39.7,60.03,1318869.0,1318869.0,1.1
BEN,8.5,1.0,42.87,48.79,1976716.0,1976716.0,6.2
FCX,NAN,3.0,0.77,73.81,32950927.0,32950927.0,0.9
GPS,9.63,16.0,NAN,NAN,4893805.0,4893805.0,2.2
GRMN,1.13,6.0,21.66,52.03,460231.0,460231.0,2.1
IT,1.21,9.0,2.98,94.42,477995.0,477995.0,2.6
GD,1.45,7.0,NAN,NAN,1858824.0,1858824.0,2.8
GE,1.02,-1.0,0.24,62.11,51059885.0,51059885.0,0.9
GIS,NAN,14.0,0.17,76.73,2897511.0,2897511.0,5.9
GM,1.38,19.0,7.21,80.13,16869905.0,16869905.0,0.9
GPC,1.61,8.0,2.76,80.15,569521.0,569521.0,2.9
GILD,1.79,4.0,0.11,80.07,14953755.0,14953755.0,2.3
GL,0.66,3.0,2.0,76.34,379246.0,379246.0,1.6
GPN,NAN,-9.0,0.66,90.71,1479329.0,1479329.0,2.4
GS,1.61,21.0,0.6,70.68,2920797.0,2920797.0,1.7
GWW,1.84,10.0,13.66,73.72,425674.0,425674.0,2.6
HAL,NAN,-2.0,0.32,77.32,11680599.0,11680599.0,2.8
HBI,8.35,1.0,1.25,94.96,2748106.0,2748106.0,5.1
HIG,1.18,-3.0,0.43,93.14,2884943.0,2884943.0,1.8
HAS,NAN,6.0,7.65,83.14,1208504.0,1208504.0,5.1
HCA,1.17,-19.0,21.7,71.26,2157003.0,2157003.0,2.1
PEAK,1.22,-9.0,0.15,96.75,2736164.0,2736164.0,1.7
HSIC,3.66,11.0,1.37,98.12,512180.0,512180.0,5.5
HSY,1.25,2.0,0.16,76.75,825499.0,825499.0,2.2
